temperature,rainfall,humidity
27.56,161.43,55.58
18.99,111.76,16.73
25.09,96.15,84.91
20.61,130.34,11.87
21.62,126.1,89.86
39.03,10.4,86.34
33.72,280.99,27.96
28.18,232.79,54.66
40.38,220.85,98.62
37.76,185.25,35.8
35.75,80.3,61.58
28.36,164.61,32.28
35.34,11.09,87.23
37.35,86.56,32.64
10.97,97.67,20.76
11.36,253.27,68.66
41.49,27.41,71.7
41.11,86.96,63.75
41.1,164.52,21.45
26.78,274.38,18.95
32.96,53.83,27.76
14.17,112.31,99.6
18.42,201.39,18.65
38.86,215.76,55.89
39.91,138.51,97.67
16.47,52.5,56.72
38.28,142.21,13.15
31.06,111.46,44.18
17.31,87.1,30.26
36.69,250.51,19.41
21.32,21.52,84.54
17.91,264.8,86.28
34.26,280.9,69.9
22.01,39.68,78.57
33.75,265.38,83.98
44.88,64.88,11.06
24.85,41.59,20.32
16.45,207.18,29.43
12.21,30.53,33.14
29.47,188.72,32.14
14.5,22.22,44.31
26.38,78.68,41.75
24.05,186.49,47.53
40.94,172.2,19.82
19.06,85.77,81.27
10.85,143.87,20.62
44.27,7.07,73.96
10.16,236.18,20.54
15.49,219.57,52.5
19.04,224.25,76.88
30.36,268.04,88.78
33.89,288.79,32.21
27.96,280.56,35.51
10.68,11.44,29.23
38.98,240.96,50.08
26.12,96.94,34.44
19.24,66.87,20.28
17.22,275.11,64.69
16.66,160.72,43.83
24.66,213.99,39.86
17.52,54.94,83.23
18.11,61.74,80.38
30.07,199.17,69.87
11.02,12.23,20.23
12.85,234.6,80.87
37.32,190.71,28.35
39.16,233.98,57.94
16.69,187.18,29.82
22.92,134.55,51.56
16.82,184.16,74.39
42.4,244.32,73.66
28.11,145.83,73.97
18.6,51.98,81.82
28.54,273.96,71.4
42.41,229.67,48.66
32.33,60.39,19.94
25.53,223.78,19.54
20.85,98.61,96.86
17.88,226.26,12.29
20.74,83.24,94.05
37.76,276.82,37.74
43.72,268.25,18.42
23.67,207.44,71.57
28.59,197.04,72.18
11.1,34.43,98.55
21.43,146.34,40.49
24.93,139.08,13.5
29.03,35.6,58.94
27.57,259.4,49.49
39.06,248.24,87.36
23.64,107.36,52.75
40.87,62.19,46.51
23.16,171.0,56.27
43.31,54.53,94.83
18.65,243.12,39.72
26.07,99.38,35.21
42.64,258.32,19.44
16.87,40.93,17.31
35.37,193.09,46.64
37.27,71.46,70.89
42.53,222.86,72.0
15.03,131.26,67.01
17.46,203.48,80.12
35.5,262.19,81.78
33.04,236.83,84.04
30.69,106.52,71.65
22.2,203.18,31.41
17.49,157.11,25.25
35.12,287.59,30.08
16.52,39.2,18.26
41.82,71.8,33.69
38.72,124.45,96.2
43.15,195.53,63.82
31.61,138.95,84.1
29.53,130.2,16.16
30.08,275.09,94.69
14.95,130.16,50.23
17.53,84.82,46.29
13.39,6.98,28.54
23.35,126.4,42.99
22.68,214.68,61.58
24.5,232.01,85.29
36.96,260.25,46.89
18.85,74.42,56.61
13.0,25.09,46.05
44.77,204.8,86.18
12.39,92.84,32.72
11.88,128.59,68.94
24.03,88.74,50.46
33.17,235.5,33.35
38.09,270.3,73.05
44.06,214.37,80.66
24.39,137.57,89.25
22.31,115.27,32.96
24.65,75.02,82.97
22.82,169.12,30.08
30.67,131.63,43.17
39.01,248.21,70.12
39.46,0.39,50.03
19.76,154.05,46.58
13.08,15.12,67.16
28.27,153.95,90.4
41.46,292.0,75.31
11.34,196.12,34.24
10.09,250.73,20.54
35.86,286.3,65.36
16.37,31.31,96.89
13.54,220.18,37.59
37.22,116.94,31.44
19.27,219.18,29.9
16.5,188.99,64.44
37.07,287.61,42.03
16.86,234.77,46.18
39.0,98.79,29.72
39.81,202.8,72.01
19.57,290.45,76.14
26.22,26.83,58.41
17.44,299.31,36.03
41.18,129.73,30.09
18.51,291.36,90.58
10.57,135.82,81.74
39.51,63.89,53.81
25.21,207.12,45.1
18.2,13.63,16.12
18.79,76.82,95.32
11.03,51.79,61.62
43.13,100.26,58.47
11.51,235.74,67.88
18.31,169.35,98.91
16.28,138.39,69.94
26.22,150.94,74.07
31.55,138.57,87.64
22.0,155.26,76.54
34.28,241.37,23.69
35.47,117.97,21.65
37.29,108.43,92.32
24.3,200.01,45.36
11.72,71.05,14.49
30.18,122.02,94.96
30.38,92.61,32.85
31.44,51.0,59.75
39.49,138.73,98.94
35.54,171.43,97.18
31.66,98.78,21.07
15.17,254.55,41.33
42.76,132.14,35.11
20.76,112.24,58.32
44.1,190.91,11.46
30.2,148.11,58.09
33.49,263.58,29.76
12.95,207.72,53.96
28.72,176.81,62.23
39.18,136.35,29.78
26.15,152.68,30.2
39.95,167.73,88.0
39.09,31.42,74.69
20.61,62.92,85.58
44.93,101.05,18.23
28.13,189.6,21.97
12.74,158.7,57.94
34.36,80.25,69.81
20.53,256.5,74.31
10.04,167.1,14.83
29.45,233.74,63.68
16.07,203.84,84.94
14.98,75.52,98.2
12.48,31.05,33.54
13.54,221.94,82.92
38.6,51.4,80.67
36.91,89.25,93.98
14.76,12.08,39.34
25.58,276.97,19.94
36.5,89.7,57.17
43.76,232.85,86.36
24.34,265.73,11.78
35.42,203.31,69.39
35.6,56.89,68.79
14.58,277.01,65.49
39.4,69.93,65.67
44.51,101.1,16.67
36.83,19.97,86.26
30.41,19.98,41.05
40.79,204.47,59.66
28.96,210.92,72.2
36.89,40.7,74.75
27.89,125.97,11.61
33.29,245.29,19.32
16.58,268.36,53.31
29.92,246.81,50.69
18.21,266.11,15.98
30.98,168.0,99.89
42.76,182.96,73.56
36.22,227.49,27.03
43.97,141.09,22.49
16.71,144.36,51.31
31.94,106.61,20.37
16.56,201.18,39.34
22.68,51.84,92.59
37.27,209.03,59.19
30.6,246.31,34.95
11.85,291.38,88.81
31.55,28.9,25.86
38.27,180.55,76.25
12.15,9.49,37.31
39.97,25.46,42.06
41.58,73.87,39.27
22.63,20.28,33.72
34.13,154.2,30.5
36.52,98.06,25.29
42.65,268.78,59.7
31.58,62.83,84.16
12.12,96.81,93.91
21.61,188.92,38.41
26.0,137.06,58.11
31.49,211.3,13.08
25.29,35.41,83.34
15.4,289.62,76.37
36.0,129.97,52.89
22.16,199.0,19.92
34.02,210.62,95.61
44.08,168.75,88.79
29.0,68.18,37.84
33.59,17.97,30.86
40.64,199.36,34.78
20.01,265.39,65.17
21.43,243.94,93.12
36.79,112.48,35.82
44.82,19.58,24.87
18.05,264.82,24.93
21.91,298.22,83.27
44.02,139.68,65.54
38.01,180.62,42.95
36.65,280.88,89.22
28.61,86.61,83.89
31.03,58.91,66.21
44.11,247.09,25.62
34.01,80.62,51.72
32.35,178.45,37.79
18.53,282.65,78.83
20.21,172.5,60.94
13.3,299.39,38.13
20.08,152.23,91.51
34.89,216.04,47.34
23.47,207.99,29.96
22.42,63.82,22.6
11.81,92.44,24.01
16.81,75.82,66.35
30.63,69.27,61.17
38.18,299.83,68.74
36.34,147.2,20.21
19.8,124.33,89.09
43.96,41.76,19.78
18.63,218.21,64.54
36.51,103.01,45.6
39.36,77.79,96.97
29.34,179.03,50.1
31.14,181.02,95.4
35.88,274.06,38.78
43.86,192.94,67.97
13.84,291.28,67.06
18.9,31.09,39.23
12.82,297.05,40.01
18.55,178.9,46.81
11.6,257.91,82.46
26.23,250.92,73.22
23.49,83.38,47.11
27.16,205.36,97.84
21.4,226.6,62.14
30.83,203.56,53.2
21.71,276.04,49.31
32.82,110.65,37.99
17.54,148.75,43.37
18.14,139.88,87.5
24.44,238.02,16.23
41.05,210.1,57.45
18.66,45.77,77.82
15.51,270.25,16.07
31.17,88.91,56.21
12.77,146.92,76.73
14.93,74.86,69.94
31.15,213.31,30.81
17.59,51.21,11.72
21.58,80.36,93.52
30.41,135.85,78.38
31.13,37.74,85.89
32.03,30.83,57.98
17.71,202.1,50.7
14.99,36.63,11.87
26.46,223.91,68.12
30.43,79.15,65.34
33.25,12.74,35.68
37.89,30.62,38.4
21.52,149.84,14.07
36.97,221.54,39.34
39.23,176.96,73.66
38.69,11.14,28.16
26.29,226.76,38.1
34.74,119.44,27.26
33.69,143.58,36.41
33.3,236.16,40.49
37.6,43.95,25.09
22.89,231.69,30.85
32.49,64.06,35.85
25.16,228.28,70.05
26.95,93.1,39.03
39.14,5.36,21.24
28.55,157.31,15.36
43.39,231.1,28.45
16.92,271.16,65.49
18.06,274.68,82.79
20.12,70.98,39.67
24.46,286.8,59.95
43.16,221.19,71.6
33.88,30.47,42.98
36.81,53.33,82.37
18.8,142.09,48.43
41.6,238.51,73.21
13.24,15.53,23.09
23.67,233.96,41.2
36.37,96.37,38.72
28.96,132.57,78.95
29.59,77.68,36.37
18.61,169.12,28.51
41.06,23.43,81.6
13.58,26.46,57.15
19.48,263.03,99.99
28.99,177.89,38.17
18.57,241.31,15.12
30.49,242.64,82.45
15.76,186.19,69.95
35.73,245.55,72.61
21.71,208.98,10.1
11.68,207.79,46.61
25.6,86.18,96.95
12.48,125.8,18.7
14.39,14.06,21.27
30.48,66.71,42.96
34.28,53.75,85.03
17.05,200.42,62.56
10.25,30.02,41.53
26.89,241.19,40.06
15.67,135.52,32.92
14.3,87.03,16.96
20.36,128.05,61.7
33.03,58.49,10.89
40.63,122.72,39.8
36.99,185.32,41.02
30.49,296.64,31.76
10.13,135.86,93.05
24.58,76.34,72.75
41.11,250.12,53.27
41.73,204.47,66.41
34.81,2.25,29.41
16.32,34.37,26.41
29.56,146.03,30.7
15.69,66.44,29.34
23.06,177.0,36.54
28.63,108.84,85.21
18.98,192.04,38.19
37.51,101.43,77.21
23.44,291.79,78.83
12.02,141.68,19.94
12.13,221.91,75.07
26.68,81.06,56.99
27.86,80.86,66.57
42.83,69.19,92.15
32.62,143.4,47.07
29.42,22.17,68.21
37.59,47.77,21.21
42.82,161.96,25.41
15.44,123.36,79.44
16.05,252.41,15.37
42.6,264.52,94.51
14.24,48.88,17.41
26.32,78.74,66.09
38.51,241.14,86.97
25.65,56.01,10.3
43.79,270.57,11.09
21.25,238.99,16.96
10.32,267.69,49.95
20.74,187.08,39.57
13.28,218.92,20.71
42.19,299.63,68.9
38.15,288.35,55.09
22.6,213.56,24.84
26.26,270.53,59.7
27.15,209.48,97.56
40.05,89.49,52.8
25.71,192.99,84.94
43.46,147.97,17.66
35.46,234.26,76.57
19.33,132.73,88.72
10.79,53.03,37.34
25.89,28.16,67.36
24.86,292.61,79.95
30.61,273.7,20.69
19.22,138.59,48.45
41.32,152.59,21.02
19.41,76.71,53.72
35.08,264.58,27.71
17.33,227.95,13.73
15.5,131.65,23.38
38.13,22.55,27.58
18.79,99.76,66.83
32.05,59.93,39.69
37.21,116.79,96.65
16.93,257.71,83.55
31.5,144.96,57.46
23.86,201.89,84.52
31.05,88.71,99.82
32.22,264.55,91.79
23.43,231.04,36.86
10.13,69.41,45.43
22.26,81.32,37.22
39.54,241.53,29.73
17.39,172.62,97.9
15.76,232.48,16.41
25.51,98.61,83.16
20.66,19.41,89.21
27.39,185.82,51.46
26.18,10.77,37.75
17.95,184.07,32.22
23.49,98.04,53.23
10.35,15.55,90.71
43.18,274.66,23.38
28.75,233.97,68.32
11.39,69.95,13.3
43.14,211.98,41.54
43.38,168.92,31.11
22.9,168.22,84.82
31.63,33.3,78.41
39.7,106.01,50.99
43.75,100.87,81.99
10.94,267.66,94.39
19.98,155.62,22.48
32.63,278.16,15.45
44.05,81.69,21.08
32.13,56.94,64.55
44.97,187.53,96.08
25.31,280.31,48.33
23.15,240.01,30.73
22.49,206.16,34.11
40.01,91.9,44.28
27.5,223.19,74.58
29.7,108.7,94.51
17.37,93.1,70.78
14.29,212.73,18.76
20.85,107.09,66.74
28.48,61.86,29.31
13.47,157.91,40.3
14.89,67.07,49.84
18.59,233.77,39.13
15.32,230.92,57.13
15.62,185.41,86.96
28.4,247.2,79.25
42.37,101.53,86.33
39.26,29.99,92.36
16.24,180.9,50.56
41.91,150.13,10.29
42.55,49.21,84.4
35.55,231.37,11.42
12.52,169.93,65.33
32.0,69.28,54.83
37.92,225.68,38.27
10.14,130.53,42.51
25.34,156.61,73.93
29.57,192.33,99.23
29.92,240.78,85.51
17.5,122.17,49.0
20.73,103.37,66.76
40.67,57.78,45.82
43.54,83.6,98.21
21.2,22.25,16.78
31.94,58.37,94.05
41.36,281.17,91.71
17.53,183.85,88.19
24.34,240.1,89.46
34.06,204.4,54.74
19.53,211.89,83.75
18.7,276.81,51.84
18.3,1.7,80.94
39.77,229.24,54.91
28.5,132.42,29.35
35.47,0.49,79.21
24.07,279.06,94.21
10.14,60.08,73.56
15.28,229.88,60.47
23.54,169.23,72.43
19.84,66.66,22.97
16.92,282.23,14.55
18.41,261.09,43.7
10.41,66.56,70.32
23.15,222.69,39.81
15.98,257.52,22.91
31.42,189.32,65.53
19.59,182.28,65.48
13.04,131.09,21.33
43.68,97.61,15.24
16.82,88.12,92.53
39.48,27.03,82.71
39.87,284.39,16.05
41.18,274.65,73.05
24.35,48.91,13.09
21.42,246.21,16.04
30.49,174.01,88.44
20.73,50.92,69.73
36.18,239.57,26.46
30.32,139.97,48.07
35.24,139.48,56.03
11.77,297.67,83.58
10.25,120.4,44.67
27.16,195.6,43.08
43.54,55.54,67.0
31.28,104.01,92.37
38.31,23.86,28.58
27.09,272.61,96.03
43.55,289.93,28.87
14.72,232.89,24.55
40.06,196.5,90.67
17.92,228.32,54.08
30.39,9.19,61.24
43.57,80.12,45.65
30.99,249.0,34.8
22.49,140.63,58.14
33.65,200.7,74.66
26.59,162.49,37.52
15.25,126.58,49.23
36.59,58.23,97.61
29.49,289.86,88.85
31.93,223.73,11.55
25.3,40.31,62.7
14.03,273.02,68.64
30.48,268.04,16.13
12.62,17.61,37.78
32.21,148.41,88.69
39.47,144.96,46.86
18.57,10.69,77.06
31.1,143.65,50.99
19.8,197.27,29.4
11.96,1.34,64.65
29.55,50.55,48.73
28.56,5.59,49.86
20.18,152.72,10.0
38.27,40.69,96.47
14.1,121.4,80.97
10.26,121.42,41.08
33.22,282.34,20.52
43.42,185.92,98.39
30.68,167.11,81.13
12.99,182.34,41.63
35.94,263.38,14.16
28.81,78.51,60.91
41.35,205.21,34.9
42.66,93.76,69.96
31.72,129.02,82.04
11.82,149.68,45.01
11.94,38.74,11.58
13.76,250.62,42.37
22.77,298.87,84.02
42.63,239.31,60.66
32.61,92.25,95.28
22.11,246.51,57.2
23.01,54.3,55.31
42.34,208.46,85.1
28.36,149.95,97.54
35.28,170.3,59.34
39.01,131.03,18.43
21.65,49.53,89.47
34.42,205.17,45.66
10.96,271.7,97.47
26.91,83.46,20.13
33.76,57.75,43.01
36.75,157.49,77.79
16.26,190.88,68.4
21.99,166.39,60.37
20.38,265.78,76.78
31.79,283.58,32.0
43.84,142.32,40.95
25.27,36.69,12.63
23.4,245.65,12.87
11.29,17.3,15.23
30.89,146.65,40.18
24.33,63.05,78.82
14.47,194.66,74.96
30.78,295.67,95.77
18.64,80.62,17.94
28.56,107.88,97.02
12.14,249.55,45.58
13.3,66.29,60.47
23.15,66.87,20.86
15.53,240.32,42.3
24.58,188.48,19.35
27.51,51.43,38.46
34.99,28.46,14.89
32.71,157.83,64.73
32.84,272.83,38.1
39.89,145.31,98.11
29.15,204.49,50.83
16.07,237.93,27.11
14.2,25.0,25.46
34.01,211.39,62.2
36.05,264.89,52.2
12.43,5.44,26.19
11.01,32.08,18.54
19.22,73.11,41.48
17.33,37.19,34.21
18.89,170.21,23.57
35.55,144.16,90.36
29.62,256.25,16.26
29.78,66.88,33.68
32.7,286.94,57.38
23.46,218.14,42.71
30.08,2.97,20.01
17.94,63.16,60.38
32.25,189.56,62.93
21.45,176.97,26.99
11.96,16.46,98.41
41.0,140.49,32.38
16.84,209.46,58.26
14.71,270.53,11.14
15.52,82.51,19.94
11.97,239.13,56.79
32.82,74.82,67.26
17.12,49.9,19.48
44.46,197.41,33.18
19.99,233.23,18.71
12.28,120.94,98.61
21.96,133.98,40.28
25.98,86.29,16.54
11.86,237.53,59.45
11.62,156.46,36.87
16.62,25.09,24.55
30.85,230.0,27.3
37.08,44.73,82.44
32.37,78.52,89.06
42.06,272.24,82.71
28.53,225.15,71.42
